Wall time,Step,Value
1617815956,2523,1.530852262
1617815990,2528,1.527752914
1617816003,2530,1.294650696
1617816017,2532,1.705631427
1617816030,2534,1.366847102
1617816119,2547,1.251720544
1617816146,2551,0.83379792
1617816159,2553,0.864389073
1617816179,2556,1.205716468
1617816240,2565,1.063831057
1617816247,2566,0.997760519
1617816315,2576,0.591892563
1617816328,2578,1.094211452
1617816410,2590,2.209017612
1617816417,2591,1.538831647
1617816424,2592,0.757814199
1617816451,2596,1.432303526
1617816478,2600,0.758727919
1617816518,2606,0.649212254
1617816634,2623,2.899231948
1617816674,2629,1.429290138
1617816681,2630,1.488183811
1617816736,2638,0.851206109
1617816776,2644,1.250235736
1617816817,2650,1.327661611
1617816851,2655,0.709226867
1617817009,2678,0.913308375
1617817022,2680,2.201773413
1617817056,2685,1.093607396
1617817090,2690,0.92290109
1617817180,2703,1.623293757
1617817227,2710,0.899447873
1617817329,2725,0.814083405
1617817412,2737,2.57112775
1617817437,2740,1.242777519
1617817478,2746,2.269263938
1617817532,2754,0.98563768
1617817539,2755,2.092299424
1617817546,2756,1.047703996
1617817552,2757,2.129890956
1617817613,2766,1.552790869
1617817770,2789,0.86150663
1617817777,2790,1.924738288
1617817784,2791,1.660639234
1617817839,2798,1.851803809
1617817914,2809,1.420787908
1617817928,2811,2.464775927
1617818009,2823,1.971707493
1617818016,2824,1.22965565
1617818036,2827,0.998887699
1617818050,2829,1.613426395
1617818057,2830,1.444508135
1617818199,2851,1.359393541
1617818254,2859,1.290971786
1617818335,2871,1.378121227
1617818342,2872,0.846702978
1617818397,2880,2.719289251
1617818403,2881,1.190783363
1617818444,2887,1.238354575
1617818465,2890,1.642558351
1617818506,2896,1.274967566
1617818533,2900,0.811489671
1617818649,2917,0.459998846
1617818663,2919,2.429059148
1617818669,2920,0.372542744
1617818676,2921,0.791783351
1617818751,2932,0.528199878
1617818873,2950,1.098788437
1617818989,2967,1.166538335
1617819037,2974,1.77948568
1617819044,2975,1.115293708
1617819064,2978,1.303253975
1617819173,2994,1.938136481
1617819200,2998,1.735009253
1617819234,3003,2.505753376
1617819248,3005,0.938666053
